sku_id,product_name,description,price
AP001,Premium White Paint,Waterproof wall paint for exterior surfaces,1800
AP002,Economy Red Paint,Interior budget paint suitable for walls,950
AP003,Luxury Gloss Finish,Oil-based gloss finish paint fast drying,2200
AP004,Exterior Weather Shield,Weather-resistant paint for outdoor walls,2000
AP005,Interior Smooth Finish,Silky matte paint for interior decor,1200
AP006,Anti-Fungal Paint,Moisture-resistant paint with antifungal protection,2100
AP007,Eco-Friendly Paint,Low-VOC environment safe water-based paint,1750
AP008,Industrial Metal Coat,Corrosion-resistant coating for metal surfaces,2500
AP009,Quick Dry Enamel,Fast drying enamel paint for furniture,1450
AP010,Textured Wall Coating,Premium texture-based decorative wall paint,2300
